date,home_team,away_team,elo_diff,rank_diff,form5_diff,form10_diff,attack_diff,defense_diff,goal_diff_diff,competitive_form_diff,competition_weight,target
2014-09-03,Germany,Argentina,218.76299023431875,1.0,0.30000000000000004,0.04999999999999993,1.3,-0.29999999999999993,0.9999999999999999,0.0,0.5,2
2014-10-11,Argentina,Brazil,212.07769235329874,4.0,0.19999999999999996,0.15000000000000002,0.0,0.7999999999999999,0.8,0.25,1.0,2
2015-01-17,Australia,Korea Republic,3.4341213122993395,50.0,-0.09999999999999998,-0.25,0.10000000000000009,-0.5999999999999999,-0.5,0.04285714285714293,2.0,2
2015-01-28,Cameroon,Côte d'Ivoire,-71.49457917516861,-14.0,0.09999999999999998,0.19999999999999996,-0.09999999999999987,0.8,0.7000000000000001,-0.2,2.0,2
2015-01-30,Iraq,United Arab Emirates,-24.98003417730729,-34.0,0.0,-0.25,-0.8,0.0,-0.8,0.0,2.0,2
2015-01-31,Australia,Korea Republic,-24.73560772963492,50.0,0.20000000000000007,-0.04999999999999993,0.5,-0.09999999999999998,0.39999999999999997,0.0,2.0,0
2015-02-01,Côte d'Ivoire,Algeria,-130.34516132526733,-10.0,0.09999999999999998,-0.25,-0.3999999999999999,-0.5,-0.9,0.0,2.0,0
2015-02-08,Côte d'Ivoire,Ghana,-33.765480156052035,9.0,0.0,-0.09999999999999998,-0.5,0.0,-0.5000000000000001,0.0625,2.0,1
2015-03-25,Germany,Australia,403.04436798589404,64.0,-0.10000000000000009,0.09999999999999998,0.30000000000000004,-0.19999999999999996,0.10000000000000009,0.41666666666666663,0.5,1
2015-03-28,Iraq,Congo DR,-74.30388109928413,-50.0,-0.2,-0.20000000000000007,-0.6,0.10000000000000009,-0.5,0.0,0.5,0
2015-03-31,Iraq,Congo DR,-68.25057218513894,-50.0,0.09999999999999998,-0.04999999999999999,-0.19999999999999996,0.0,-0.2,0.0,0.5,0
2015-06-09,Congo DR,Cameroon,146.92911762128233,-7.0,-0.39999999999999997,-0.2,0.0,-0.29999999999999993,-0.3,0.3,0.5,1
2015-06-11,Korea Republic,United Arab Emirates,9.57015049860297,15.0,0.30000000000000004,0.04999999999999993,-0.20000000000000018,0.5000000000000001,0.30000000000000004,-0.041666666666666685,0.5,0
2015-06-11,Korea Republic,United Arab Emirates,9.57015049860297,15.0,0.09999999999999998,-0.050000000000000044,-0.40000000000000013,0.10000000000000009,-0.3,0.0,0.5,0
2015-06-11,Japan,Iraq,122.06576948455108,34.0,0.4,0.35,1.2999999999999998,0.40000000000000013,1.7,0.08333333333333337,1.0,0
2015-06-15,Chile,Mexico,3.78050116857753,4.0,0.0,-0.050000000000000044,0.0,0.0,0.0,0.09999999999999998,2.5,1
2015-06-16,Argentina,Uruguay,167.9314705164311,5.0,-0.20000000000000007,-0.15000000000000002,0.5,-0.19999999999999996,0.2999999999999998,0.15000000000000002,2.5,0
2015-06-17,Brazil,Colombia,-19.649727433707994,-1.0,0.19999999999999996,0.30000000000000004,0.20000000000000018,0.39999999999999997,0.5999999999999999,-0.04166666666666663,2.5,2
2015-06-19,Mexico,Ecuador,163.77201479441146,8.0,0.2,0.20000000000000007,0.0,0.30000000000000004,0.30000000000000004,0.2833333333333334,2.5,2
2015-06-24,Chile,Uruguay,140.56396579963257,-11.0,-0.19999999999999996,-0.15000000000000002,0.0,-0.19999999999999996,-0.19999999999999996,0.2142857142857143,2.5,0
2015-06-26,Argentina,Colombia,100.05805252324171,1.0,0.20000000000000007,0.09999999999999998,0.7000000000000002,-0.09999999999999998,0.6,0.11250000000000004,2.5,1
2015-07-03,Peru,Paraguay,40.99312628321604,24.0,0.0,0.09999999999999998,-0.09999999999999987,0.8999999999999999,0.7999999999999999,0.0,2.5,0
2015-07-04,Chile,Argentina,-56.49578386303506,-16.0,0.09999999999999998,-0.15000000000000002,-0.10000000000000009,-0.5000000000000001,-0.6,-0.01388888888888884,2.5,1
2015-08-02,Korea Republic,Japan,19.81019758148159,-2.0,0.19999999999999996,-0.09999999999999998,-0.8000000000000003,-0.3,-1.0999999999999999,-0.0357142857142857,1.0,0
2015-08-02,Korea Republic,Japan,19.81019758148159,-2.0,0.19999999999999996,-0.09999999999999998,-0.8000000000000003,-0.39999999999999997,-1.2,-0.0357142857142857,1.0,0
2015-08-05,Japan,Korea Republic,-20.909483305433696,2.0,-0.30000000000000004,-0.09999999999999998,0.20000000000000018,0.0,0.19999999999999996,0.0357142857142857,1.0,1
2015-08-05,Japan,Korea Republic,-20.909483305433696,2.0,-0.10000000000000009,-0.04999999999999993,0.30000000000000027,0.09999999999999998,0.3999999999999999,0.0357142857142857,1.0,1
2015-08-09,Korea Republic,Korea Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2015-08-09,Korea Republic,Korea Republic,0.0,0.0,-0.09999999999999998,0.0,-0.09999999999999987,0.09999999999999998,0.0,0.0,1.0,1
2015-08-09,Korea Republic,Korea Republic,0.0,0.0,0.09999999999999998,0.0,0.09999999999999987,-0.09999999999999998,0.0,0.0,1.0,1
2015-08-09,Korea Republic,Korea Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2015-09-05,Chile,Paraguay,265.3709882053631,47.0,0.4,0.19999999999999996,0.5,0.7999999999999998,1.2999999999999998,0.2777777777777778,0.5,0
